title,media,date,datetime,desc,link,img,topic
Review: British Airways Business Class Airbus A319 (GVA-LHR),One Mile at a Time,1 hour ago,2024-05-30 20:48:09.437823,"Detailed review of British Airways' Club Europe business class on the Airbus A319. Here's what to expect from the seats, food, and more.",https://onemileatatime.com/reviews/british-airways-business-class-a319/&ved=2ahUKEwirw4KVrbaGAxX2D1kFHcrCDP4QxfQBegQIBBAC&usg=AOvVaw1SxRCd6KXwipvghu53ZENa,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
Biman proceeding with Airbus deal to avoid future risks: Outgoing MD,The Business Standard,1 hour ago,2024-05-30 20:48:09.449053,"Biman Bangladesh Airlines is going to diversify its fleet by purchasing Airbus planes to avoid future risks, said the airline's outgoing Managing Director...",https://www.tbsnews.net/bangladesh/biman-proceeding-airbus-deal-avoid-future-risk-depending-similar-fleet-outgoing-md-863311&ved=2ahUKEwirw4KVrbaGAxX2D1kFHcrCDP4QxfQBegQICRAC&usg=AOvVaw2JMzX3heO8hNhXWDDELHDm,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
Cross-Country: What Are United Airlines' Longest Routes With Airbus Narrowbodies?,Simple Flying,3 hours ago,2024-05-30 18:48:09.460786,United has only one international route on this list.,https://simpleflying.com/united-airlines-longest-airbus-narrowbody-routes/&ved=2ahUKEwirw4KVrbaGAxX2D1kFHcrCDP4QxfQBegQIBRAC&usg=AOvVaw2LYcwMG2UlqV9Q3NwtuOa6,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
"LEO-focused Satellite Propulsion Technology Market [Top Trends] | Airbus S.A.S, Ariane Group, Busek Co Inc.",Weekly Post Gazette,3 hours ago,2024-05-30 18:48:09.471990,"To obtain the latest report, “LEO-focused Satellite Propulsion Technology Market 2024,” go to OrbisResearch.com. By engaging in a thorough and detailed...",https://weeklypostgazette.com/leo-focused-satellite-propulsion-technology-market-top-trends-airbus-s-a-s-ariane-group-busek-co-inc/&ved=2ahUKEwirw4KVrbaGAxX2D1kFHcrCDP4QxfQBegQIARAC&usg=AOvVaw0r8zr6BKWbX4gY7QmGGEgv,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
Delta Air Lines A350 Atlanta-Johannesburg Declares Emergency,AviationSource News,5 hours ago,2024-05-30 16:48:09.483073,It has emerged that a Delta Air Lines Airbus A350 operating a flight to Johannesburg declared an emergency not long after departure from Atlanta.,https://aviationsourcenews.com/emergency/delta-air-lines-a350-atlanta-johannesburg-declares-emergency/&ved=2ahUKEwirw4KVrbaGAxX2D1kFHcrCDP4QxfQBegQIBxAC&usg=AOvVaw0XhWHGiajXxKgCDCPN0CYv,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
Malaysia Airlines' First Airbus A330neo Enters Final Assembly Phase,Simple Flying,5 hours ago,2024-05-30 16:48:09.494936,The first of Malaysia Airlines' Airbus A330neos has entered final assembly at Airbus' manufacturing facility in Toulouse. Once final checks and the cabin...,https://simpleflying.com/malaysia-airlines-first-airbus-a330neo-enters-final-assembly/&ved=2ahUKEwirw4KVrbaGAxX2D1kFHcrCDP4QxfQBegQICBAC&usg=AOvVaw0hgHbbe-r3Zv0lC4poUyNn,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
"CAC40: regains some altitude, Airbus in support",marketscreener.com,6 hours ago,2024-05-30 15:48:09.506161,"After losing 2.4% over the last two sessions, the Paris Bourse regained some of its color today, finally gaining +0.55% to 7978 points, driven by Airbus...",https://www.marketscreener.com/quote/index/CAC-40-4941/news/CAC40-regains-some-altitude-Airbus-in-support-46866342/&ved=2ahUKEwirw4KVrbaGAxX2D1kFHcrCDP4QxfQBegQIBhAC&usg=AOvVaw08Ad6XNIMjwqShJjqILCxW,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
"Airbus announces retrofits with Swiss, THAI and China Airlines, includes A350s",AeroTime,7 hours ago,2024-05-30 14:48:09.518900,"Airbus Services has signed retrofit agreements with Swiss, Thai Airways and China Airlines at this year's Aircraft Interiors Expo in Hamburg.",https://www.aerotime.aero/articles/airbus-retrofit-hamburg-swiss-thai-airways&ved=2ahUKEwirw4KVrbaGAxX2D1kFHcrCDP4QxfQBegQIAhAC&usg=AOvVaw1bZ5UaER6-A_nmJxetIGX5,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
"P25 and TETRA Land Mobile Radio Industry [SWOT Analysis]| Motorola Solutions, Airbus DS, KENWOOD Corporation",Weekly Post Gazette,7 hours ago,2024-05-30 14:48:09.530092,"Visit OrbisResearch.com to access the most recent report, “P25 and TETRA Land Mobile Radio Market 2024,”. Within this analysis, we delve deeply into the...",https://weeklypostgazette.com/p25-and-tetra-land-mobile-radio-industry-swot-analysis-motorola-solutions-airbus-ds-kenwood-corporation/&ved=2ahUKEwirw4KVrbaGAxX2D1kFHcrCDP4QxfQBegQIABAC&usg=AOvVaw08on2JWQRrpzvFUJCz9dSZ,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
"Space-Based RF and Microwave Technology Industry Startegy Analysis} ASELSAN, Airbus S.A.S., General Dynamics ...",Weekly Post Gazette,8 hours ago,2024-05-30 13:48:09.543160,"Visit OrbisResearch.com to access the most recent report, “Space-Based RF and Microwave Technology Market 2024,”. Within this analysis, we delve deeply into...",https://weeklypostgazette.com/space-based-rf-and-microwave-technology-industry-startegy-analysis-aselsan-airbus-s-a-s-general-dynamics-mission-systems/&ved=2ahUKEwirw4KVrbaGAxX2D1kFHcrCDP4QxfQBegQIAxAC&usg=AOvVaw05ZeJ525bZ2Z7XlWKWAUGH,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
Review: British Airways Business Class Airbus A319 (GVA-LHR),One Mile at a Time,1 hour ago,2024-05-30 20:48:09.985777,"Detailed review of British Airways' Club Europe business class on the Airbus A319. Here's what to expect from the seats, food, and more.",https://onemileatatime.com/reviews/british-airways-business-class-a319/&ved=2ahUKEwi1lKyVrbaGAxVNEFkFHUKBCkoQxfQBegQIABAC&usg=AOvVaw1isDXy8puYq8Zo5KNzjoat,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
Biman proceeding with Airbus deal to avoid future risks: Outgoing MD,The Business Standard,1 hour ago,2024-05-30 20:48:09.996822,"Biman Bangladesh Airlines is going to diversify its fleet by purchasing Airbus planes to avoid future risks, said the airline's outgoing Managing Director...",https://www.tbsnews.net/bangladesh/biman-proceeding-airbus-deal-avoid-future-risk-depending-similar-fleet-outgoing-md-863311&ved=2ahUKEwi1lKyVrbaGAxVNEFkFHUKBCkoQxfQBegQICRAC&usg=AOvVaw2swGJfPWoNdONgiXimgEyc,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
Cross-Country: What Are United Airlines' Longest Routes With Airbus Narrowbodies?,Simple Flying,3 hours ago,2024-05-30 18:48:10.008493,United has only one international route on this list.,https://simpleflying.com/united-airlines-longest-airbus-narrowbody-routes/&ved=2ahUKEwi1lKyVrbaGAxVNEFkFHUKBCkoQxfQBegQIBhAC&usg=AOvVaw2gl5EU7C0Cuom_GIyDrNwe,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
"LEO-focused Satellite Propulsion Technology Market [Top Trends] | Airbus S.A.S, Ariane Group, Busek Co Inc.",Weekly Post Gazette,3 hours ago,2024-05-30 18:48:10.020907,"To obtain the latest report, “LEO-focused Satellite Propulsion Technology Market 2024,” go to OrbisResearch.com. By engaging in a thorough and detailed...",https://weeklypostgazette.com/leo-focused-satellite-propulsion-technology-market-top-trends-airbus-s-a-s-ariane-group-busek-co-inc/&ved=2ahUKEwi1lKyVrbaGAxVNEFkFHUKBCkoQxfQBegQIAxAC&usg=AOvVaw07Ce7vmsFms6q8erJbyvJ7,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
Delta Air Lines A350 Atlanta-Johannesburg Declares Emergency,AviationSource News,5 hours ago,2024-05-30 16:48:10.032297,It has emerged that a Delta Air Lines Airbus A350 operating a flight to Johannesburg declared an emergency not long after departure from Atlanta.,https://aviationsourcenews.com/emergency/delta-air-lines-a350-atlanta-johannesburg-declares-emergency/&ved=2ahUKEwi1lKyVrbaGAxVNEFkFHUKBCkoQxfQBegQIBBAC&usg=AOvVaw3HfIOS4AA1Ch8PNV-IXplK,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
Malaysia Airlines' First Airbus A330neo Enters Final Assembly Phase,Simple Flying,5 hours ago,2024-05-30 16:48:10.045135,The first of Malaysia Airlines' Airbus A330neos has entered final assembly at Airbus' manufacturing facility in Toulouse. Once final checks and the cabin...,https://simpleflying.com/malaysia-airlines-first-airbus-a330neo-enters-final-assembly/&ved=2ahUKEwi1lKyVrbaGAxVNEFkFHUKBCkoQxfQBegQIARAC&usg=AOvVaw0unqS20vCHe5bS1IN1oeXT,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
"CAC40: regains some altitude, Airbus in support",marketscreener.com,6 hours ago,2024-05-30 15:48:10.057407,"After losing 2.4% over the last two sessions, the Paris Bourse regained some of its color today, finally gaining +0.55% to 7978 points, driven by Airbus...",https://www.marketscreener.com/quote/index/CAC-40-4941/news/CAC40-regains-some-altitude-Airbus-in-support-46866342/&ved=2ahUKEwi1lKyVrbaGAxVNEFkFHUKBCkoQxfQBegQICBAC&usg=AOvVaw0caiaPGMQrVi5oZV0XoiQ6,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
"Airbus announces retrofits with Swiss, THAI and China Airlines, includes A350s",AeroTime,7 hours ago,2024-05-30 14:48:10.069117,"Airbus Services has signed retrofit agreements with Swiss, Thai Airways and China Airlines at this year's Aircraft Interiors Expo in Hamburg.",https://www.aerotime.aero/articles/airbus-retrofit-hamburg-swiss-thai-airways&ved=2ahUKEwi1lKyVrbaGAxVNEFkFHUKBCkoQxfQBegQIBRAC&usg=AOvVaw3k5NnrsBrcndeSf0hpkHwt,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
"P25 and TETRA Land Mobile Radio Industry [SWOT Analysis]| Motorola Solutions, Airbus DS, KENWOOD Corporation",Weekly Post Gazette,7 hours ago,2024-05-30 14:48:10.081986,"Visit OrbisResearch.com to access the most recent report, “P25 and TETRA Land Mobile Radio Market 2024,”. Within this analysis, we delve deeply into the...",https://weeklypostgazette.com/p25-and-tetra-land-mobile-radio-industry-swot-analysis-motorola-solutions-airbus-ds-kenwood-corporation/&ved=2ahUKEwi1lKyVrbaGAxVNEFkFHUKBCkoQxfQBegQIAhAC&usg=AOvVaw1LJ22n3CZgyIpYFNfwbbn5,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
"Space-Based RF and Microwave Technology Industry Startegy Analysis} ASELSAN, Airbus S.A.S., General Dynamics ...",Weekly Post Gazette,8 hours ago,2024-05-30 13:48:10.093626,"Visit OrbisResearch.com to access the most recent report, “Space-Based RF and Microwave Technology Market 2024,”. Within this analysis, we delve deeply into...",https://weeklypostgazette.com/space-based-rf-and-microwave-technology-industry-startegy-analysis-aselsan-airbus-s-a-s-general-dynamics-mission-systems/&ved=2ahUKEwi1lKyVrbaGAxVNEFkFHUKBCkoQxfQBegQIBxAC&usg=AOvVaw3AWqcS3oX4dNlwl7uunvhg,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
"Circularise, Airbus complete blockchain traceability PoC for recycling aircraft cabins - Ledger Insights",Ledger Insights,9 hours ago,2024-05-30 12:48:10.531264,Sustainability startup Circularise completed a proof of concept with Airbus to create a digital product passport for an aircraft cabin.,https://www.ledgerinsights.com/circularise-airbus-complete-blockchain-traceability-poc-for-recycling-aircraft-cabins/&ved=2ahUKEwjx2s2VrbaGAxViFFkFHcrhDQc4ChDF9AF6BAgDEAI&usg=AOvVaw0o1Z0MwRScD35BUIov4Omg,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
Airbus announces new Airspace interior features for the A330neo,Inflight,9 hours ago,2024-05-30 12:48:10.545180,"Airbus showcased a special A330neo full-size mockup at the Aircraft Interiors Expo and revealed its new Airspace cabin features, including a new Hero Light...",https://www.inflight-online.com/airbus-announces-new-airspace-interior-features-for-the-a330neo/&ved=2ahUKEwjx2s2VrbaGAxViFFkFHcrhDQc4ChDF9AF6BAgJEAI&usg=AOvVaw2Fy1TosKUeKmmBbDsDMo6v,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
Flyadeal orders 51 Airbus aircraft,Times Aerospace,0 hours ago,2024-05-30 21:48:10.547072,The order for 12 Airbus A320neos and 39 bigger capacity A321neos was signed as part of a wider announcement by parent Saudia Group for a record 105 aircraft...,http://www.timesaerospace.aero/news/air-transport/flyadeal-orders-51-airbus-aircraft&ved=2ahUKEwjx2s2VrbaGAxViFFkFHcrhDQc4ChDF9AF6BAgIEAI&usg=AOvVaw1AHHA4t88GoTp5dZffOH_Z,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
Elon Musk's AI start-up hires former Airbus innovation centre GC as first legal chief,The Global Legal Post,0 hours ago,2024-05-30 21:48:10.548973,Elon Musk's artificial intelligence business xAI has appointed Robert Keele as its first legal head to help steer the company's expansion efforts.,https://www.globallegalpost.com/news/elon-musks-ai-start-up-hires-former-airbus-innovation-centre-gc-as-first-legal-chief-69467076&ved=2ahUKEwjx2s2VrbaGAxViFFkFHcrhDQc4ChDF9AF6BAgBEAI&usg=AOvVaw3NvrBo52NSEf6BNqRcMe1r,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",airbus
